n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,rmse
300,0.05,7,5,0.8,1.0,21.470772220120253
300,0.05,7,5,1.0,0.8,21.29703686194917
300,0.05,7,5,1.0,1.0,21.23049680199213
300,0.05,7,10,0.8,0.8,21.14481969539998
300,0.05,7,10,0.8,1.0,21.136782313281536
300,0.05,7,10,1.0,0.8,21.255544965091083
300,0.05,7,10,1.0,1.0,21.29275498824219
300,0.1,3,1,0.8,0.8,22.28680517032317
300,0.1,3,1,0.8,1.0,21.686386836794096
300,0.1,3,1,1.0,0.8,22.039770230912684
300,0.1,3,1,1.0,1.0,22.038172903484842
300,0.1,3,5,0.8,0.8,22.3564976988535
300,0.1,3,5,0.8,1.0,21.544777520842352
300,0.1,3,5,1.0,0.8,22.119727198768917
300,0.1,3,5,1.0,1.0,22.03772983446954
300,0.1,3,10,0.8,0.8,22.180178238057156
300,0.1,3,10,0.8,1.0,21.781915456310728
300,0.1,3,10,1.0,0.8,22.117419719417377
300,0.1,3,10,1.0,1.0,21.97333223444284
300,0.1,5,1,0.8,0.8,21.2080230316576
300,0.1,5,1,0.8,1.0,21.179690628299042
300,0.1,5,1,1.0,0.8,21.680798794617374
300,0.1,5,1,1.0,1.0,21.519153330599554
300,0.1,5,5,0.8,0.8,21.28150190691146
300,0.1,5,5,0.8,1.0,21.22789122620464
300,0.1,5,5,1.0,0.8,21.884915417983084
300,0.1,5,5,1.0,1.0,21.695062981522362
300,0.1,5,10,0.8,0.8,21.476779103144604
300,0.1,5,10,0.8,1.0,21.11501120415094
300,0.1,5,10,1.0,0.8,21.495516684484418
300,0.1,5,10,1.0,1.0,21.338065257989104
300,0.1,7,1,0.8,0.8,21.238200864960532
300,0.1,7,1,0.8,1.0,21.386392988324186
300,0.1,7,1,1.0,0.8,21.347388907334647
300,0.1,7,1,1.0,1.0,21.349287064419737
300,0.1,7,5,0.8,0.8,20.91531424534962
300,0.1,7,5,0.8,1.0,21.197830678003264
300,0.1,7,5,1.0,0.8,20.930500630621026
300,0.1,7,5,1.0,1.0,21.21976194070631
300,0.1,7,10,0.8,0.8,21.0530835029214
300,0.1,7,10,0.8,1.0,21.515334023487352
300,0.1,7,10,1.0,0.8,21.024401374593985
300,0.1,7,10,1.0,1.0,21.11788684968656
500,0.03,3,1,0.8,0.8,22.47450954356071
500,0.03,3,1,0.8,1.0,22.540549731319935
500,0.03,3,1,1.0,0.8,22.644371465234038
500,0.03,3,1,1.0,1.0,22.55458538691688
500,0.03,3,5,0.8,0.8,22.451173079283027
500,0.03,3,5,0.8,1.0,22.495857192282507
500,0.03,3,5,1.0,0.8,22.598412374318464
500,0.03,3,5,1.0,1.0,22.552173133690594
500,0.03,3,10,0.8,0.8,22.489664313812867
500,0.03,3,10,0.8,1.0,22.548363763524186
500,0.03,3,10,1.0,0.8,22.707061975306296
500,0.03,3,10,1.0,1.0,22.56954737079851
500,0.03,5,1,0.8,0.8,21.749703834398325
500,0.03,5,1,0.8,1.0,21.93977591727983
500,0.03,5,1,1.0,0.8,21.92636789405565
500,0.03,5,1,1.0,1.0,21.989232719069438
500,0.03,5,5,0.8,0.8,21.916377104983297
500,0.03,5,5,0.8,1.0,21.886935644791386
500,0.03,5,5,1.0,0.8,21.829418272835127
500,0.03,5,5,1.0,1.0,21.8596747697858
500,0.03,5,10,0.8,0.8,21.979306927075747
500,0.03,5,10,0.8,1.0,21.718502782489924
500,0.03,5,10,1.0,0.8,21.94013775887225
500,0.03,5,10,1.0,1.0,21.99391457728989
500,0.03,7,1,0.8,0.8,21.157941578617336
500,0.03,7,1,0.8,1.0,21.35024258050397
500,0.03,7,1,1.0,0.8,21.45999751414569
500,0.03,7,1,1.0,1.0,21.405714788233666
500,0.03,7,5,0.8,0.8,21.228875410779523
500,0.03,7,5,0.8,1.0,21.30813366968773
500,0.03,7,5,1.0,0.8,21.335142664647833
500,0.03,7,5,1.0,1.0,21.377206059464598
500,0.03,7,10,0.8,0.8,21.17067527915804
500,0.03,7,10,0.8,1.0,20.9413144144124
500,0.03,7,10,1.0,0.8,21.202087833763336
500,0.03,7,10,1.0,1.0,21.200529922963263
500,0.05,3,1,0.8,0.8,22.07954403132567
500,0.05,3,1,0.8,1.0,21.958605430517338
500,0.05,3,1,1.0,0.8,22.222583325929964
500,0.05,3,1,1.0,1.0,22.12619402254705
500,0.05,3,5,0.8,0.8,21.91793356516437
500,0.05,3,5,0.8,1.0,21.980113349087812
500,0.05,3,5,1.0,0.8,22.239053622902954
500,0.05,3,5,1.0,1.0,22.076523582824986
500,0.05,3,10,0.8,0.8,22.032465128498412
500,0.05,3,10,0.8,1.0,21.983438794972066
500,0.05,3,10,1.0,0.8,22.13849837873528
500,0.05,3,10,1.0,1.0,22.122893185534906
500,0.05,5,1,0.8,0.8,21.323020685424755
500,0.05,5,1,0.8,1.0,21.52457568635774
500,0.05,5,1,1.0,0.8,21.812584000484623
500,0.05,5,1,1.0,1.0,21.590619264480026
500,0.05,5,5,0.8,0.8,21.60902140936867
500,0.05,5,5,0.8,1.0,21.741933706641998
500,0.05,5,5,1.0,0.8,21.63230556339169
500,0.05,5,5,1.0,1.0,21.618475443893537
500,0.05,5,10,0.8,0.8,21.64829164433588
500,0.05,5,10,0.8,1.0,21.578652754067896
500,0.05,5,10,1.0,0.8,21.57426919294235
500,0.05,5,10,1.0,1.0,21.709751006822867
500,0.05,7,1,0.8,0.8,21.077909087922
500,0.05,7,1,0.8,1.0,21.272937043935833
